cell,binary,pair,pos,rate,think,tick_us,worker_threads,pre_vus,max_vus,cores,exit,iterations,dropped,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
r50000-0s-tick1000-wt2,base,0,warmup,50000,0s,1000,2,64,128,0-3,0,499945.0,10.0,49994.5,11.045,2341.43,3752619690,4434162002,17307,8,30153867
r50000-0s-tick1000-wt2,cand,0,warmup,50000,0s,1000,2,64,128,0-3,0,499957.0,0,49995.7,10.025,2581.40,3758631447,4508093092,16972,6,31540131
r50000-0s-tick1000-wt2,base,1,1,50000,0s,1000,2,64,128,0-3,0,499958.0,0,49995.8,11.028,2225.20,3670306157,4401988099,17452,6,29699540
r50000-0s-tick1000-wt2,cand,1,2,50000,0s,1000,2,64,128,0-3,0,499989.0,0,49998.9,10.027,2271.41,3741842801,4417382967,17249,6,30203860
r50000-0s-tick1000-wt2,cand,2,1,50000,0s,1000,2,64,128,0-3,0,499978.0,0,49997.8,10.027,2115.91,3689967733,4382535970,17575,13,29616994
r50000-0s-tick1000-wt2,base,2,2,50000,0s,1000,2,64,128,0-3,0,499984.0,0,49998.4,11.028,2240.11,3687384426,4416136182,17442,6,29688488
r50000-0s-tick1000-wt2,base,3,1,50000,0s,1000,2,64,128,0-3,0,499963.0,1.0,49996.3,11.030,2043.18,3720477610,4352024977,17586,0,29594238
r50000-0s-tick1000-wt2,cand,3,2,50000,0s,1000,2,64,128,0-3,0,499976.0,0,49997.6,10.030,2112.26,3688156947,4372759951,17430,6,28442894
r50000-0s-tick1000-wt2,cand,4,1,50000,0s,1000,2,64,128,0-3,0,499985.0,0,49998.5,10.028,2154.93,3711515956,4378206323,17338,7,29360926
r50000-0s-tick1000-wt2,base,4,2,50000,0s,1000,2,64,128,0-3,0,499952.0,2.0,49995.2,11.030,2073.48,3731992935,4358785629,17529,4,29097744
r50000-0s-tick1000-wt2,base,5,1,50000,0s,1000,2,64,128,0-3,0,499926.0,6.0,49992.6,11.031,2474.58,3726035709,4464324397,17213,9,30213076
r50000-0s-tick1000-wt2,cand,5,2,50000,0s,1000,2,64,128,0-3,0,499965.0,0,49996.5,10.029,2519.88,3743337042,4473823858,16951,3,30613047
r150000-0s-tick1000-wt2,base,0,warmup,150000,0s,1000,2,64,128,0-3,0,600182.0,899778.0,60018.2,11.030,3227.32,4853358966,5885807017,16649,6,43160125
r150000-0s-tick1000-wt2,cand,0,warmup,150000,0s,1000,2,64,128,0-3,0,1060101.0,439686.0,106010.1,10.028,4126.83,6307947062,6879765255,15199,4,57348600
r150000-0s-tick1000-wt2,base,1,1,150000,0s,1000,2,64,128,0-3,0,603879.0,895994.0,60387.9,11.029,2387.19,4811303943,5871254155,17558,4,40296466
r150000-0s-tick1000-wt2,cand,1,2,150000,0s,1000,2,64,128,0-3,0,1050872.0,449049.0,105087.2,10.028,4237.94,6307807462,6809344777,15097,3,56096532
r150000-0s-tick1000-wt2,cand,2,1,150000,0s,1000,2,64,128,0-3,0,1046441.0,453377.0,104644.1,10.027,4371.73,6586136669,6775715304,14989,3,56447175
r150000-0s-tick1000-wt2,base,2,2,150000,0s,1000,2,64,128,0-3,0,604977.0,894837.0,60497.7,11.027,2924.37,4720354846,5912059389,17025,7,44656783
r150000-0s-tick1000-wt2,base,3,1,150000,0s,1000,2,64,128,0-3,0,600370.0,899558.0,60037.0,11.031,2907.83,4866681847,5872440051,16979,6,44099194
r150000-0s-tick1000-wt2,cand,3,2,150000,0s,1000,2,64,128,0-3,0,1047446.0,452518.0,104744.6,10.030,4265.28,6535586743,6759335402,15106,4,55685110
r150000-0s-tick1000-wt2,cand,4,1,150000,0s,1000,2,64,128,0-3,0,1044664.0,455249.0,104466.4,10.028,4360.39,6562992629,6749585537,14980,3,56372021
r150000-0s-tick1000-wt2,base,4,2,150000,0s,1000,2,64,128,0-3,0,602712.0,897200.0,60271.2,11.029,2876.61,4784531086,5881955719,17043,8,41934676
r150000-0s-tick1000-wt2,base,5,1,150000,0s,1000,2,64,128,0-3,0,602256.0,897602.0,60225.6,11.033,3101.78,4864256584,5903362689,16840,7,42975114
r150000-0s-tick1000-wt2,cand,5,2,150000,0s,1000,2,64,128,0-3,0,1050201.0,449677.0,105020.1,10.027,4225.65,6455688841,6780053908,15123,5,56104366
r250000-0s-tick1000-wt2,base,0,warmup,250000,0s,1000,2,64,128,0-3,0,655013.0,1844671.0,65501.3,11.030,3341.06,5602002933,7282806784,16569,7,50954426
r250000-0s-tick1000-wt2,cand,0,warmup,250000,0s,1000,2,64,128,0-3,0,1054059.0,1445630.0,105405.9,10.028,4238.04,6391228984,6772321833,15165,2,56785802
r250000-0s-tick1000-wt2,base,1,1,250000,0s,1000,2,64,128,0-3,0,661754.0,1838152.0,66175.4,11.027,3691.72,5730945623,7285304739,16701,3,50199149
r250000-0s-tick1000-wt2,cand,1,2,250000,0s,1000,2,64,128,0-3,0,1048664.0,1451087.0,104866.4,10.027,4340.31,6497666315,6764586139,14989,2,57206559
