cell,binary,pair,pos,rate,think,tick_us,worker_threads,pre_vus,max_vus,cores,exit,iterations,dropped,achieved_per_s,wall_s,task_clock_ms,cycles,instructions,ctx_switches,cpu_migrations,cache_misses
r50000-0s-tick1000-wt2,base,0,warmup,50000,0s,1000,2,64,128,0-3,0,467168.0,32782.0,46716.8,11.074,1465.65,3810860172,4157885671,17296,927,44249378
r50000-0s-tick1000-wt2,cand,0,warmup,50000,0s,1000,2,64,128,0-3,0,438416.0,61462.0,43841.6,10.058,1103.32,3552073424,3553189561,13332,113,34453267
r50000-0s-tick1000-wt2,base,1,1,50000,0s,1000,2,64,128,0-3,0,488379.0,11560.0,48837.9,11.031,1840.61,4272972121,4320923835,17685,152,48458647
r50000-0s-tick1000-wt2,cand,1,2,50000,0s,1000,2,64,128,0-3,0,499956.0,0,49995.6,10.027,2873.12,4712008958,4917814618,16992,71,36656780
r50000-0s-tick1000-wt2,cand,2,1,50000,0s,1000,2,64,128,0-3,0,499930.0,0,49993.0,10.030,2721.51,4523436160,4912863263,17008,31,34894106
r50000-0s-tick1000-wt2,base,2,2,50000,0s,1000,2,64,128,0-3,0,499913.0,78.0,49991.3,11.032,2081.90,3660518576,4396692627,17942,66,30834463
r50000-0s-tick1000-wt2,base,3,1,50000,0s,1000,2,64,128,0-3,0,499989.0,2.0,49998.9,11.028,2134.61,3652818723,4390378848,17678,17,28453503
r50000-0s-tick1000-wt2,cand,3,2,50000,0s,1000,2,64,128,0-3,0,499990.0,0,49999.0,10.024,3184.12,4724216859,4942333291,17047,12,34901747
r50000-0s-tick1000-wt2,cand,4,1,50000,0s,1000,2,64,128,0-3,0,499951.0,0,49995.1,10.027,3161.89,4620463788,4964820798,16736,13,36178935
r50000-0s-tick1000-wt2,base,4,2,50000,0s,1000,2,64,128,0-3,0,499983.0,3.0,49998.3,11.029,2205.13,3684540717,4397215135,17428,6,29791646
r50000-0s-tick1000-wt2,base,5,1,50000,0s,1000,2,64,128,0-3,0,499954.0,7.0,49995.4,11.030,2112.08,3660368147,4370930516,17432,4,28265930
r50000-0s-tick1000-wt2,cand,5,2,50000,0s,1000,2,64,128,0-3,0,499954.0,0,49995.4,10.028,2123.09,4377188106,4806189994,17555,3,29734695
